*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
mítico	"mythical, legendary, fabulous"
pronunciado	pronounced
brutal	"brutal, brutish, brute"
erróneo	"wrong, erroneous, misleading"
plástico	"plastic, sculptural"
clasificado	"classified, assorted"
*** 811 - 820 (/course/185945/spanish-adjectives/82/)	
sufrido	"complaisant husband, long-suffering, uncomplaining"
agradecido	"grateful, thankful, obliged"
burgués	"bourgeois, middle-class, well-off"
furioso	"angry, furious, wild"
publicitario	advertising
grabado	"recorded, engraved"
virgen	"virgin, unspoilt"
aproximado	"approximate, rough"
difundido	diffused
imaginario	"imaginary, fanciful"
*** 821 - 830 (/course/185945/spanish-adjectives/83/)	
divertido	"funny, enjoyable, amusing"
explícito	"explicit, express, clear"
indio	"Indian, boorish"
andaluz	"Andalusian, Andalucian"
espléndido	"splendid, superb, grand"
atado	tied
ético	"ethical, ethic, exemplary"
legendario	"legendary, fabled"
amado	"beloved, dear, darling"
sombrío	"somber, dark, dismal"
*** 831 - 840 (/course/185945/spanish-adjectives/84/)	
noruego	Norwegian
encarcelado	imprisoned
hebreo	Hebrew
vestido	dressed
esclavo	"slave, enslaved"
educado	"polite, educated, trained"
dudoso	"dubious, doubtful, uncertain"
problemático	"problem, problematic, problematical"
viajero	"traveling salesman, fond of travelling"
metropolitano	"metropolitan, subway, urban"
*** 841 - 850 (/course/185945/spanish-adjectives/85/)	
pagado	"paid, prepaid"
festivo	"festive, holiday, festival"
cerebral	"cerebral, brain"
encantado	"delighted, haunted, enthusiastic"
suelto	"loose, free, loose change"
sangriento	"bloody, sanguinary, gory"
acostumbrado	"accustomed, used, usual"
innecesario	"unnecessary, needless"
accesible	"accessible, approachable, reachable"
docente	"teaching, educational"
*** 851 - 860 (/course/185945/spanish-adjectives/86/)	
informal	"informal, casual, unreliable"
checo	Czech
análogo	"analogous, akin to"
espontáneo	"spontaneous, unbidden, unexpected"
potencial	potential
cerámico	ceramic
clandestino	"clandestine, underground, undercover"
conformado	"shaped, conformed"
arrestado	detained
periodístico	"journalistic, press, news media"
*** 861 - 870 (/course/185945/spanish-adjectives/87/)	
unitario	"unitary, Unitarian, unit"
regulador	"regulatory, regulating"
psíquico	"psychic, psychical, mental"
celeste	"heavenly, celestial, light blue"
repartido	"distributed, issued"
leal	"loyal, faithful, devoted"
hábil	"skillful, skilled, skilful"
maduro	"mature, ripe, seasoned"
evolutivo	"evolutionary, evolutional"
aragonés	Aragonese
*** 871 - 880 (/course/185945/spanish-adjectives/88/)	
persa	"Persian, Farsi, Iranian"
escogido	"selected, picked, select"
transitorio	"temporary, transitory, transient"
escocés	"tartan, Scottish, Scots"
boliviano	Bolivian
polémico	"polemic, polemical, controversial"
subjetivo	subjective
repentino	"sudden, abrupt"
planetario	planetary
frágil	"fragile, frail, brittle"
*** 881 - 890 (/course/185945/spanish-adjectives/89/)	
cualificado	"skilled, trained, qualified"
patente	"patent, obvious, clear"
acumulado	"accumulated, aggregate, accrued"
tímido	"shy, timid, bashful"
templado	"tempered, warm, mild"
despejado	"clear, cloudless, clear-headed"
heroico	heroic
andino	Andean
perpetuo	"perpetual, everlasting, life"
coordinado	"coordinated, coordinate, combined"
*** 891 - 900 (/course/185945/spanish-adjectives/90/)	
reforzado	reinforced
roto	"broken, torn, worn"
contradictorio	"contradictory, conflicting, opposing"
rumano	"Romanian, Rumanian, Roumanian"
colgado	"hanging, dangling, freeze"
calificado	"qualified, authorized, equipped"
coronado	crowned
ecuatoriano	Ecuadorian
hispano	"Hispanic, Spanish, Hispano"
preocupante	"worrying, disturbing, preoccupying"
*** 901 - 910 (/course/185945/spanish-adjectives/91/)	
sirio	"Sirius, Syrian"
harto	"fed up, sick of, sick to death of"
iniciado	"initiated, initiate, initiated member"
susceptible	"susceptible, sensitive"
migratorio	"migratory, migrant"
inclinado	"tilted, inclined, pitched"
iluminado	"illuminated, light"
exhaustivo	"exhaustive, thorough, comprehensive"
llano	"flat, smooth, simple"
parroquial	"parochial, parish"
*** 911 - 920 (/course/185945/spanish-adjectives/92/)	
costoso	"costly, expensive, difficult"
anónimo	"anonymous, nameless, unknown"
asustado	"afraid, frightened, startled"
húngaro	Hungarian
intacto	"intact, whole, unbroken"
vacío	"empty, blank, void"
casero	"home, homemade, homely"
diferenciado	differentiated
honesto	honest
regulado	"regulated, regular, mediocre"
*** 921 - 930 (/course/185945/spanish-adjectives/93/)	
gracioso	"funny, droll, graceful"
guapo	"handsome, pretty, nice"
terminal	"terminal, final, last"
preventivo	"preventive, preventative, precautionary"
viable	viable
pato	"bored, boring, dull"
acusado	"accused, marked, pronounced"
simpático	"nice, friendly, sympathetic"
bravo	"rough, brave, wild"
apasionado	"passionate, impassioned"
*** 931 - 940 (/course/185945/spanish-adjectives/94/)	
procesal	"procedural, trial"
románico	"Romanic, Romanesque, Romance"
probado	"proven, tried"
criollo	"American, creole, local"
montado	"mounted, set"
bélico	"war, warlike"
equipado	equipped
noveno	ninth
vencido	"defeated, beaten"
sinónimo	"synonymous, synonym, synonymous with"
*** 941 - 950 (/course/185945/spanish-adjectives/95/)	
semanal	"weekly, week-long"
atómico	atomic
fijado	"set, fixed"
adaptado	adapted
ofensivo	offensive
cultivado	"cultivated, cultured"
penoso	"painful, distressing, laborious"
sentimental	"sentimental, emotional, soulful"
ganadero	"stock, livestock"
unánime	unanimous
*** 951 - 960 (/course/185945/spanish-adjectives/96/)	
recuperado	recovered
experimentado	experienced
alimenticio	"alimentary, eating, food"
óptimo	"optimum, ideal, optimal"
respetuoso	"respectful, deferential, formal"
anciano	"old, elder, elderly"
querido	"dear, darling, loved"
exento	"exempt, free-standing"
tóxico	"toxic, toxicant, poisonous"
tributario	"tax, tributary, fiscal"
*** 961 - 970 (/course/185945/spanish-adjectives/97/)	
exiliado	"exiled, exile, in exile"
autóctono	"autochthonous, indigenous, native"
callado	"silent, quiet, kept"
liso	"smooth, flat, straight"
nórdico	"Nordic, Norse"
lunar	lunar
fiable	"reliable, trustworthy"
programado	programmed
plano	"flat, plane, level"
manuscrito	handwritten
*** 971 - 980 (/course/185945/spanish-adjectives/98/)	
geométrico	"geometrical, geometric"
notorio	"notorious, obvious, evident"
incierto	"uncertain, untrue, unsure"
licenciado	licensed
fantástico	"fantastic, fantastical, fantasy"
fértil	"fertile, rich, productive"
súbito	sudden
forzoso	"forced, necessary, obligatory"
solidario	"supportive, caring"
minoritario	minority
*** 981 - 990 (/course/185945/spanish-adjectives/99/)	
comparable	"comparable, similar"
exagerado	"exaggerated, excessive, overdone"
documentado	"documented, identifiable, informed"
mejorado	"enhanced, improved"
tirado	"stranded, lying, sprawled"
genérico	generic
criado	"grown, brought up"
acústico	"acoustic, acoustical"
delicioso	"delicious, luscious, delectable"
alcanzado	"short of, broke, penniless"
*** 991 - 1000 (/course/185945/spanish-adjectives/100/)	
estudiado	"studied, affected"
ilustrado	"illustrated, pictorial, enlightened"
arbitrario	"arbitrary, unwarranted, baseless"
paramilitar	paramilitary
sensato	"sensible, sane, rational"
inverso	"reverse, inverse, converse"
embarazada	pregnant
estúpido	"stupid, idiotic, silly"
multilateral	multilateral
protestante	"Protestant, protest"
*** 1001 - 1010 (/course/185945/spanish-adjectives/101/)	
bailarín	dancing
acuático	"aquatic, water"
farmacéutico	"pharmaceutical, pharmatical"
burocrático	"bureaucratic, official"
estético	"esthetic, aesthetic, beautiful"
non	odd
ortodoxo	"orthodox, conservative, traditional"
contado	"numbered, limited, certain"
monumental	"monumental, enormous, awesome"
desierto	"desert, deserted"
*** 1011 - 1020 (/course/185945/spanish-adjectives/102/)	
provisto	"stocked, supplied"
aliado	allied
insignificante	"insignificant, inconsiderable, trivial"
cereal	cereal
concentrado	"concentrate, concentrated, gathered"
saludable	"healthy, wholesome, salutary"
salarial	"wage, salary"
repleto	"full, replete, filled with"
croata	Croatian
robusto	"sturdy, robust, hardy"
*** 1021 - 1030 (/course/185945/spanish-adjectives/103/)	
sintético	"synthetic, artificial, concise"
inadecuado	"inadequate, unsuitable, unfit"
pegado	"glued, band-aid, stuck"
desgraciado	"miserable, unhappy, unfortunate"
ajustado	"tight, snug, close-fitting"
asombroso	"amazing, astonishing, breathtaking"
confiado	"confident, trustful, reliant"
submarino	"submarine, underwater, undersea"
libanés	Lebanese
*** 1031 - 1040 (/course/185945/spanish-adjectives/104/)	
anticipado	"early, advanced, anticipatory"
ingenuo	"ingenuous, naive, naïve"
simultáneo	"simultaneous, concurrent"
inherente	"inherent, attached to"
liviano	"light, easy"
bíblico	"biblical, scriptural, Bible"
exquisito	"exquisite, delicious, luscious"
bizantino	"Byzantine, pointless, untimely"
restringido	"restricted, limited, narrow"
fotográfico	photographic
*** 1041 - 1050 (/course/185945/spanish-adjectives/105/)	
residencial	residential
insoportable	"unbearable, insufferable, too much"
paterno	paternal
potable	"potable, drinkable, drinking"
incompleto	"incomplete, sketchy, unfinished"
expresivo	"expressive, affectionate"
atmosférico	"atmospheric, air"
ilícito	"illicit, illegal, unlawful"
olvidado	forgotten
racista	racist
*** 1051 - 1060 (/course/185945/spanish-adjectives/106/)	
asegurado	"assured, insured"
sublime	"sublime, lofty"
invertido	"invested, inverted, reversed"
independentista	"independence, pro-independence"
admirado	"admired, amazed, astonished"
decente	"honest, upright, decent"
hambriento	"hungry, ravenous, peckish"
áspero	"rough, harsh, rugged"
aduanero	customs
eventual	"eventual, prospective, temporary"
*** 1061 - 1070 (/course/185945/spanish-adjectives/107/)	
conceptual	conceptual
percibido	"perceived, spot"
puntual	"punctual, prompt, detailed"
atraído	attracted
incompatible	incompatible
condicionado	conditioned
precario	"precarious, precarious state, uncertain"
albanés	Albanian
favorecido	"favored, favoured, lucky"
limítrofe	"bordering, adjoining, adjacent"
*** 1071 - 1080 (/course/185945/spanish-adjectives/108/)	
adverso	"adverse, untoward, hostile"
periférico	"peripheral, outlying, marginal"
fluvial	"fluvial, river, riverine"
culto	"learned, educated, cultured"
agotado	"exhausted, spent, tired"
neutral	"neutral, unbiased"
resuelto	"resolved, determined, decided"
multinacional	multinational
piadoso	"godly, pious, devout"
molecular	molecular
*** 1081 - 1090 (/course/185945/spanish-adjectives/109/)	
usual	"usual, normal, customary"
retórico	"rhetoric, rhetorical, oratorical"
comunicado	connected
mediático	"media, high-profile, celebrity"
armónico	"harmonic, harmonious, symmetrical"
dichoso	"happy, blissful, bloody"
quieto	"still, quiescent, calm"
contable	"accounting, of accounts, countable"
marginal	"marginal, minimal, subsidiary"
marinero	"seagoing, seaworthy, naval"
*** 1091 - 1100 (/course/185945/spanish-adjectives/110/)	
numérico	"numeric, numerical"
intensivo	"intensive, crash"
finito	"finite, very thin"
tenso	"tense, strained, uptight"
irónico	"ironic, ironical"
hundido	"sunken, hollow, sagging"
temeroso	"afraid, fearful, timorous"
pío	"pious, piebald"
guardado	guarded
adelantado	"precocious, advanced for his age, advanced"
*** 1101 - 1110 (/course/185945/spanish-adjectives/111/)	
sumergido	"submerged, submersed, dived"
ibérico	Iberian
férreo	"iron, ferrous, rigid"
callejero	"street, from the street, stray"
melancólico	"gloomy, melancholic, melancholy"
líquido	"liquid, fluid, net"
glorioso	"glorious, splendid, great"
paraguayo	Paraguayan
ansioso	"anxious, eager, excited"
borracho	"drunken, drunk, ecstatic"
*** 1111 - 1120 (/course/185945/spanish-adjectives/112/)	
empírico	"empiric, empirical, empiricist"
rectangular	"rectangular, right-angled, having right angles"
emergente	"rising, surging, emerging"
reiterado	"reiterated, repeated"
erótico	"erotic, sexy"
cuántico	quantum
agitado	"agitated, troubled, shaken"
indefinido	"indefinite, indeterminate, permanent"
encantador	"enchanting, lovely, charming"
celoso	"jealous, zealous, conscientious"
*** 1121 - 1130 (/course/185945/spanish-adjectives/113/)	
frustrado	"frustrated, abortive, failed"
incómodo	"uncomfortable, awkward, cumbersome"
cooperativo	"cooperative, helpful"
renacentista	Renaissance
confundido	confused
volcánico	volcanic
civilizado	"civilized, civilised"
analítico	"analytic, analytical"
sostenido	"sustained, sharp, baseless"
apagado	"off, dull, out"
*** 1131 - 1140 (/course/185945/spanish-adjectives/114/)	
recíproco	"reciprocal, mutual, reciprocated"
administrado	"administered, administrated"
terapéutico	therapeutic
cortado	"cut, clipped, shy"
tripartito	tripartite
ilimitado	"unlimited, unbounded, infinite"
respetable	respectable
selectivo	"selective, exigent, choosy"
molesto	"annoying, obtrusive, troublesome"
exigente	"demanding, exigent, exacting"
*** 1141 - 1150 (/course/185945/spanish-adjectives/115/)	
finalizado	"finalized, terminated"
imponente	"imposing, grand, towering"
autoritario	"authoritarian, authoritative, bossy"
equitativo	"equitable, equal, fair"
emisor	issuing
yugoslavo	Yugoslavian
satélite	satellite
cumplido	"polite, thoughtful, generous"
sumo	"extreme, supreme"
vigoroso	"vigorous, strong, robust"
*** 1151 - 1160 (/course/185945/spanish-adjectives/116/)	
contencioso	"contentious, argumentative, captious"
próspero	"prosperous, successful, flourishing"
alcohólico	alcoholic
sereno	"calm, serene, composed"
importado	imported
emblemático	"emblematic, characteristic, archetypal"
temible	"fearsome, redoubtable, frightening"
marxista	"Marxist, Marxian"
desastroso	"disastrous, calamitous, terrible"
hidráulico	hydraulic
*** 1161 - 1170 (/course/185945/spanish-adjectives/117/)	
vago	"vague, faint, idle"
maligno	"malignant, malign, the devil"
afgano	Afghan
acreditado	"accredited, authorized US, authorised UK"
salido	"left, departed, protruding"
colorado	"red, colored, coloured"
homogéneo	homogeneous
conseguido	"well-made, well-done, well made"
perverso	"evil, wicked, perverse"
soberbio	"proud, superb, arrogant"
*** 1171 - 1180 (/course/185945/spanish-adjectives/118/)	
extraído	extracted
sobrenatural	"supernatural, unearthly"
insólito	"unusual, uncommon, extraordinary"
moro	"Moorish, possessive, black"
ascendente	"upward, up, ascendant"
inmobiliario	"real-estate (related), property"
bebido	drunk
prematuro	"early, premature, untimely"
blindado	"armored, armoured"
rudo	"rude, hard, crude"
*** 1181 - 1190 (/course/185945/spanish-adjectives/119/)	
iraní	Iranian
observado	observed
kurdo	"Kurdish, Kurd"
observador	"observant, alert"
inequívoco	"unmistakable, unequivocal, distinct"
galardonado	"award-winner, award-winning, prize-winning"
celestial	"celestial, heavenly"
cobarde	"cowardly, coward, craven"
rotundo	"definitive, emphatic, flat"
audaz	"bold, audacious, fearless"
*** 1191 - 1200 (/course/185945/spanish-adjectives/120/)	
asombrado	"astonished, amazed, flabbergasted"
indonesio	Indonesian
